frame_number,bt_x,bt_y,tl_x,tl_y,tr_x,tr_y,br_x,br_y,Predicted,Distance,Difference
104921.jpg,1794,3021,1958,1778,2678,1745,4028,2997,5.4274748346,7.348728,1.9212531654
105857.jpg,1688,3021,1843,1933,2710,1900,3987,3021,4.1120176316,6.21792,2.1059023684
110233.jpg,1753,3021,1876,2334,3030,2301,3799,3013,2.1469277584,4.69392,2.5469922416
110514.jpg,330,3013,657,2661,2522,2661,2686,3021,0.6437361815,3.16992,2.5261838185
